index	Title	Location	Venue	Begin	End	Synopsis	Link
0	International Academic Conference on Management, Economics and Marketing in Vienna, Austria 2020	Athens,Greece	Virtual	Jul 24, 2020 09:00 AM	                Jul 25, 2020            	International Academic Conference on Management, Economics and Marketing in Vienna 2020 is an important international gathering of scholars.	http://www.allconferences.com/c/international-academic-conference-on-management-economics-and-marketing-in-vienna-austria-2020-vienna-2020-july-24
1	International Academic Conference on Teaching, Learning and E-learning in Vienna, Austria 2020	Athens,Greece	Virtual	Jul 24, 2020 09:00 AM	                Jul 25, 2020            	International Academic Conference on Teaching, Learning and E-learning in Vienna 2020 is an important international gathering of scholars.	http://www.allconferences.com/c/international-academic-conference-on-teaching-learning-and-e-learning-in-vienna-austria-2020-vienna-2020-july-24
2	VIRTUAL International Conference on the Global Impact of the Coronavirus COVID-19 on Society	Athens,Greece	Virtual	Jul 30, 2020 09:00 AM	                Jul 31, 2020 06:00 PM            	International Academic VIRTUAL Conference is an important international gathering of scholars, educators and PhD students.	http://www.allconferences.com/c/virtual-international-conference-on-the-global-impact-of-the-coronavirus-covid-19-on-society-athens-2020-july-30
3	International Academic Conference on Management, Economics, Business and Marketing in Budapest, HUN	Budapest,Hungary	Novotel Budapest Danube	Nov 20, 2020 09:00 AM	                Nov 21, 2020 04:00 PM            	International Academic Conference in Budapest 2020 is an important international gathering of scholars, educators and PhD students.	http://www.allconferences.com/c/international-academic-conference-on-management-economics-business-and-marketing-in-budapest-hun-budapest-2020-november-20
4	International Academic Conference on Global Education, Teaching and Learning in Budapest 2020 HUN	Budapest,Hungary	Novotel Budapest Danube	Nov 20, 2020 09:00 AM	                Nov 21, 2020 04:00 PM            	IAC-GETL 2020 in Budapest is an important international gathering of scholars, educators and PhD students.	http://www.allconferences.com/c/international-academic-conference-on-global-education-teaching-and-learning-in-budapest-2020-hun-budapest-2020-november-20
5	International Academic Conference on Management, Economics, Business and Marketing in Vienna, AUS	Athens,Greece	Virtual	Dec 11, 2020 09:00 AM	                Dec 12, 2020 04:00 PM            	IAC-MEBM is an important international gathering of scholars, educators and PhD students. 	http://www.allconferences.com/c/international-academic-conference-on-management-economics-business-and-marketing-in-vienna-aus-vienna-2020-december-11
6	International Academic Conference on Global Education, Teaching and Learning in Vienna, Austria 2020	Athens,Greece	Virtual	Dec 11, 2020 09:00 AM	                Dec 12, 2020 04:00 PM            	IAC-GETL is an important international gathering of scholars, educators and PhD students.	http://www.allconferences.com/c/international-academic-conference-on-global-education-teaching-and-learning-in-vienna-austria-2020-vienna-2020-december-11
7	ICMRAA 2020	Kuah,Kedah	Aseania Resort & Spa	Dec 24, 2020 10:00 AM	                Dec 25, 2020 06:00 PM            	The ICMRAA's aim is publishing refereed,original research studies and articles that are well-written and describe the latest development	http://www.allconferences.com/c/icmraa-2020-kuah-2020-december-24
8	2nd Edition Healthcare India Conclave	Mumbai,India	JW Marriott Hotel Mumbai	Aug 30, 2023 10:00 AM	None	2nd Edition Healthcare India Conclave is Technology and Expansion Strategies for sustainable future! The conclave brings together top 100.	http://www.allconferences.com/c/2nd-edition-healthcare-india-conclave-2023-august-30
9	2020 International Conference on Smart City and Green Energy (ICSCGE 2020)--JA,Scopus	Da Nang,Vietnam	Da Nang	Jul 04, 2020	                Jul 06, 2020            	accepted papers will be published in the International Journal of Smart Grid and Clean Energy, which will be indexed by Scopus	http://www.allconferences.com/c/2020-international-conference-on-smart-city-and-green-energy-icscge-2020-ja-scopus-da-nang-2020-july-04
