index	city	company_name	duration	frequency	job	job_link	salary
0	上海	网易游戏	3个月	3天/周	英语翻译实习生-上海	https://www.shixiseng.com/intern/inn_uc111afzya0i?pcm=pc_SearchList	150-200/天
1	深圳	赛怡康	3个月	6天/周	文员实习	https://www.shixiseng.com/intern/inn_agfq6symdrwb?pcm=pc_SearchList	200-400/天
2	厦门	吉比特	3个月	3天/周	行政实习生	https://www.shixiseng.com/intern/inn_aa1dvx6qubqr?pcm=pc_SearchList	150-200/天
3	武汉	武汉高途课堂	2个月	6天/周	暑期实习课程销售	https://www.shixiseng.com/intern/inn_f2cmjgugj86d?pcm=pc_SearchList	150-180/天
4	上海	SKILLZONE	3个月	5天/周	招聘专员	https://www.shixiseng.com/intern/inn_54zojdsjacil?pcm=pc_SearchList	150-200/天
5	成都	展动力	6个月	5天/周	猎头管培生	https://www.shixiseng.com/intern/inn_q6kmxjqzheif?pcm=pc_SearchList	100-200/天
6	深圳	微光医疗	10个月	5天/周	硬件测试实习生	https://www.shixiseng.com/intern/inn_odiyvwsuey2b?pcm=pc_SearchList	120-200/天
7	深圳	阿蒙工师	6个月	5天/周	后期制作	https://www.shixiseng.com/intern/inn_b3afsybw3l4n?pcm=pc_SearchList	100-200/天
8	上海	星环科技	5个月	4天/周	AI前端开发实习生 (MJ000291)	https://www.shixiseng.com/intern/inn_shq8udnoizag?pcm=pc_SearchList	180-300/天
9	成都	CGP CHINA	3个月	5天/周	猎头实习生	https://www.shixiseng.com/intern/inn_yagnl6onfysd?pcm=pc_SearchList	100-120/天
10	北京	混沌大学北京分社	3个月	5天/周	互联网教育-用户运营实习生	https://www.shixiseng.com/intern/inn_63mfz4mk3l4c?pcm=pc_SearchList	150-150/天
11	重庆	悦橙租房	2个月	6天/周	销售实习生	https://www.shixiseng.com/intern/inn_9xl8tvcscz3t?pcm=pc_SearchList	100-200/天
12	重庆	百度重庆中心	11个月	5天/周	广告销售	https://www.shixiseng.com/intern/inn_czabxskoga0s?pcm=pc_SearchList	120-200/天
13	上海	维萨拉	4个月	3天/周	供应链实习生	https://www.shixiseng.com/intern/inn_w87pklq3enfq?pcm=pc_SearchList	200-300/天
14	深圳	赛怡康	3个月	6天/周	行政助理	https://www.shixiseng.com/intern/inn_kws84c5hnusp?pcm=pc_SearchList	300-500/天
15	成都	世茂服务	6个月	5天/周	管培生（世茂服务新生力项目）	https://www.shixiseng.com/intern/inn_pr5dkpyfbpts?pcm=pc_SearchList	120-200/天
16	北京	唐大明白	1个月	5天/周	高考志愿咨询师	https://www.shixiseng.com/intern/inn_7kqtfkoqfbg6?pcm=pc_SearchList	50-100/天
17	北京	高力国际	11个月	3天/周	办公楼服务部实习生	https://www.shixiseng.com/intern/inn_f4vivopyy59v?pcm=pc_SearchList	100-150/天
18	厦门	吉比特	3个月	5天/周	产品实习生（厦门）	https://www.shixiseng.com/intern/inn_uejxjgf0cdnm?pcm=pc_SearchList	150-200/天
19	北京	OFashion迷橙	11个月	5天/周	时尚运营实习生	https://www.shixiseng.com/intern/inn_iv8djmvyxgkh?pcm=pc_SearchList	100-120/天
20	广州	房六六	6个月	5天/周	招聘助理	https://www.shixiseng.com/intern/inn_mszhwlb0aiep?pcm=pc_SearchList	80-120/天
21	西安	安创生态	7个月	5天/周	数字后端实习生	https://www.shixiseng.com/intern/inn_me4uudigwaej?pcm=pc_SearchList	100-200/天
22	广州	广州恒先	8个月	5天/周	Java研发实习生	https://www.shixiseng.com/intern/inn_kwghhgbkayqy?pcm=pc_SearchList	120-200/天
23	全国	圣才电子书	3个月	2天/周	线上学科编辑-期货从业类	https://www.shixiseng.com/intern/inn_pnbnwrhsh4yo?pcm=pc_SearchList	200-300/天
24	广州	Kelly	6个月	3天/周	sourcing assistant猎头助理	https://www.shixiseng.com/intern/inn_k4lc1rueskik?pcm=pc_SearchList	100-120/天
25	北京	OFashion迷橙	21个月	5天/周	新媒体运营实习生	https://www.shixiseng.com/intern/inn_jktsb4o495tj?pcm=pc_SearchList	100-120/天
26	成都	贝壳	8个月	6天/周	房产经纪人	https://www.shixiseng.com/intern/inn_ustsp8x4k1mj?pcm=pc_SearchList	100-150/天
27	上海	驰大数据	4个月	5天/周	行政文员前台	https://www.shixiseng.com/intern/inn_jboocjzsm32m?pcm=pc_SearchList	150-200/天
28	全国	圣才电子书	4个月	2天/周	学科编辑-心理类（线上）	https://www.shixiseng.com/intern/inn_y56bc6zqqztw?pcm=pc_SearchList	200-300/天
29	全国	圣才电子书	3个月	2天/周	学科编辑-肿瘤/放射/公共卫生/预防医学方向	https://www.shixiseng.com/intern/inn_qniysrmcgtmg?pcm=pc_SearchList	200-300/天
